,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Gender,M,M,M,M,M,M,M,F,F,F,F,F,M,M,M,M,M,M,F,F,F,F,F,F,F,F
Name,Echevarria,Manyonga,Dendy,Samaai,Juska,Caceres,Smith,Spanovic,Reese,MTaroum,Burks,Sagnia,Manyonga,Lawson,Samaai,Menkov,Masso,Lasa,Reese,Klishina,Bartoletta,Spanovic,Ugen,Stratton,Malone,Griva
Height,1.86,1.89,1.93,1.85,1.93,1.74,1.83,1.75,1.73,1.76,1.6,1.73,1.89,1.88,1.85,1.78,1.74,1.8,1.73,1.8,1.68,1.75,1.77,1.68,1.8,1.81
Weight,72,82,79,75,84,69,74,63,64,65,-,64,82,78,75,74,61,75,64,-,59,63,66,58,-,63
Effective_distance,8.49,8.44,8.19,8.2,8.05,7.95,7.8,7.05,6.97,6.87,6.95,6.76,8.54,8.5,8.35,8.35,8.27,8.2,7.03,7.01,7.04,7.03,6.74,6.68,6.69,6.55
Step_length_last,2.27,2.28,2.13,2.22,2.13,2.15,2.03,2,1.79,2.24,1.98,2.28,2.12,2.31,2.15,2.16,2.17,2.27,1.87,1.98,2.01,2.06,2.1,2,2.23,2.08
Velocity_last_step,9.67,9.86,9.84,9.71,9.33,9.97,9.37,9.2,8.78,8.63,9.17,8.72,9.91,10,9.64,9.7,9.68,9.38,8.46,8.68,9.2,9.1,8.41,8.62,8.55,8.36
Horizontal_velocity_TO,8.61,8.93,9.11,8.95,8.36,9.18,8.5,8.46,8.44,7.61,8.48,7.34,9.12,9.56,7.98,8.06,9.43,8.45,8.23,8.27,7.72,7.91,7.2,7.98,8.09,7.57
Vertical_velocity_TO,4.2,3.83,3.45,3.49,3.63,3.47,3.79,3.1,3.18,3.61,3.38,3.68,3.68,3.51,3.87,3.79,3.93,4.13,2.73,3.42,2.86,3.26,3.46,3.27,3.07,3.31
Loss_horizontal_velocity,-1.41,-1.39,-1.32,-1.34,-1.78,-0.96,-1.53,-1.6,-0.83,-1.82,-1.52,-2.26,-1.58,-1.1,-2.08,-2.8,-0.53,-1.41,-1.01,-1.29,-1.48,-1.41,-2.37,-1.01,-0.91,-1.4
Velocity_TO,9.58,9.72,9.74,9.61,9.11,9.81,9.31,9.01,9.02,8.42,9.13,8.21,9.83,10.18,8.87,8.91,10.22,9.41,8.67,8.95,8.23,8.56,7.99,8.62,8.65,8.26
Angle_TO,26,23.2,20.8,21.3,23.5,20.7,24,20.1,20.6,25.4,21.7,26.6,22,20.2,25.9,25.2,22.6,26,18.4,22.5,20.3,22.4,25.7,22.3,20.8,23.6
Body_inclination_angle_TD,-32.2,-33.4,-35.3,-33.6,-36.2,-29.8,-38,-35.3,-37.9,-37.9,-35.1,-39,-34.9,-35.7,-36.7,-35.9,-38,-37,-39.4,-36.8,-35.5,-38.6,-37.5,-37,-36.3,-35.2
Body_inclination_angle_TO,13.5,18.8,20.1,20.6,17.1,16.5,18.4,21.4,23.7,16.1,19.4,16,19.2,18.2,21.8,20,18.8,16.2,17.5,12.6,15.2,19.1,13.6,17.9,13,16.4
Trunk_angle_TD,-16.3,-4.6,0.3,-5.9,-8.8,-2.8,-5.3,-3.8,-1.6,-6.7,-6.7,-18.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trunk_angle_TO,-6.4,-2.3,4.7,10.4,-2.7,0.2,-4,2.9,7.3,-3.9,-1.4,0.9,84.1,91,82.7,91.6,91,98.2,84.6,88.4,97.8,97.2,84.3,89.8,99.9,95.6
Lead_thigh_angle_TO,-20,-7.5,-14.6,-18.8,-12.6,-8,-16,-21.1,-6.4,-18.1,-2.1,-3.4,-16.3,-15.4,-21.1,-26.7,-18.2,-16.5,-16.1,-11.8,-28.4,-22.7,-14.4,-11.1,-14.9,-17.8
Mean_lead_thigh_angular_velocity,486,635,470,595,586,704,490,631,651,533,694,575,574,472,607,492,626,504,514,563,407,497,543,581,552,515
Knee_angle_TD,171.2,168.6,168.2,165.2,165.3,169.5,161.4,167.9,160,160.2,167,174.5,177.5,179.9,172.2,176.1,165.5,169.4,156,172.4,174,167.5,163.8,176.7,155.8,177.5
Minimum_knee_angle,149.2,137.5,141.4,131.8,140.6,150.8,136.1,144.1,123.6,137.5,143,141.6,142.6,134.5,144.3,151.7,128,158.7,137.1,144.4,133.2,141.6,131.5,142.6,132.9,145.2
Knee_range_of_motion,22,31.1,26.8,33.4,24.7,18.7,25.3,23.8,36.4,22.7,24,32.9,34.9,45.4,27.9,24.4,37.5,10.7,18.9,28,40.8,25.9,32.3,34.1,22.9,32.3
Mean_knee_angular_velocity,-489,-518,-383,-514,-412,-416,-460,-595,-662,-349,-600,-506,-537,-606,-699,-349,-626,-143,-379,-311,-493,-370,-587,-682,-459,-381
CM_lowering,8,4,3,4,3,2,2,2,1,4,3,5,5,3,3,2,4,2,1,3,2,4,1,2,2,6
Knee_angle_landing,153.8,131.9,117.8,140.8,134.9,-,125.1,139.3,132.4,149,132.1,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trunk_angle_landing,-7.1,7.6,-14.6,31.5,20.3,-,2.5,-8.8,-5.2,5.3,30.8,12.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Landing_distance,0.74,0.65,0.79,0.66,0.63,-,0.44,0.72,0.57,0.72,0.46,0.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
